Year;Month;Day;Hour;Temperature;GHI
2024;1;31;11;25.3;0.0
2024;1;31;12;27.0;67.0
2024;1;31;13;29.2;281.0
2024;1;31;14;31.5;256.0
2024;1;31;15;33.4;542.0
2024;1;31;16;34.8;789.0
2024;1;31;17;35.6;508.0
2024;1;31;18;35.7;462.0
2024;1;31;19;35.0;554.0
2024;1;31;20;33.7;400.0
2024;1;31;21;31.9;404.0
2024;1;31;22;29.7;181.0
2024;1;31;23;28.1;9.0
2024;2;1;0;27.2;0.0
2024;2;1;1;26.8;0.0
2024;2;1;2;26.5;0.0
2024;2;1;3;26.3;0.0
2024;2;1;4;26.1;0.0
2024;2;1;5;25.8;0.0
2024;2;1;6;25.7;0.0
2024;2;1;7;25.6;0.0
2024;2;1;8;25.5;0.0
2024;2;1;9;25.4;0.0
2024;2;1;10;25.3;0.0
2024;2;1;11;25.5;0.0
2024;2;1;12;27.0;28.0
2024;2;1;13;29.0;267.0
2024;2;1;14;31.1;299.0
2024;2;1;15;32.6;411.0
2024;2;1;16;33.6;445.0
2024;2;1;17;34.1;618.0
2024;2;1;18;34.0;561.0
2024;2;1;19;33.2;641.0
2024;2;1;20;32.2;609.0
2024;2;1;21;30.9;403.0
2024;2;1;22;29.2;179.0
2024;2;1;23;27.9;9.0
2024;2;2;0;27.3;0.0
2024;2;2;1;26.8;0.0
2024;2;2;2;26.4;0.0
2024;2;2;3;26.1;0.0
2024;2;2;4;25.8;0.0
2024;2;2;5;25.6;0.0
2024;2;2;6;25.5;0.0
2024;2;2;7;25.4;0.0
2024;2;2;8;25.3;0.0
2024;2;2;9;25.4;0.0
2024;2;2;10;25.4;0.0
2024;2;2;11;25.6;0.0
2024;2;2;12;26.3;28.0
2024;2;2;13;27.2;91.0
2024;2;2;14;28.3;162.0
2024;2;2;15;29.4;491.0
2024;2;2;16;30.4;662.0
2024;2;2;17;31.1;223.0
2024;2;2;18;31.3;409.0
2024;2;2;19;31.1;416.0
2024;2;2;20;30.5;438.0
2024;2;2;21;29.5;346.0
2024;2;2;22;28.1;181.0
2024;2;2;23;26.9;10.0
2024;2;3;0;26.4;0.0
2024;2;3;1;26.1;0.0
2024;2;3;2;25.8;0.0
2024;2;3;3;25.6;0.0
2024;2;3;4;25.5;0.0
2024;2;3;5;25.4;0.0
2024;2;3;6;25.2;0.0
2024;2;3;7;25.1;0.0
2024;2;3;8;24.9;0.0
2024;2;3;9;24.8;0.0
2024;2;3;10;24.7;0.0
2024;2;3;11;25.1;0.0
2024;2;3;12;26.4;35.0
2024;2;3;13;27.9;142.0
2024;2;3;14;29.4;429.0
2024;2;3;15;30.9;599.0
2024;2;3;16;31.8;784.0
2024;2;3;17;32.3;313.0
2024;2;3;18;32.5;886.0
2024;2;3;19;32.2;527.0
2024;2;3;20;31.4;616.0
2024;2;3;21;30.2;345.0
2024;2;3;22;28.3;58.0
2024;2;3;23;26.9;14.0
2024;2;4;0;26.3;0.0
2024;2;4;1;26.0;0.0
